Drug Bank ID,inRepurposeDB,Type,Approved,Human Intestinal Absorption,Blood Brain Barrier,Caco-2 permeable,P-glycoprotein substrate,P-glycoprotein inhibitor I,P-glycoprotein inhibitor II,Renal organic cation transporter,CYP450 2C9 substrate,CYP450 2D6 substrate,CYP450 3A4 substrate,CYP450 1A2 substrate,CYP450 2C19 substrate,CYP450 inhibitory promiscuity,Ames test,Carcinogenicity,Biodegradation,hERG inhibition (predictor I),hERG inhibition (predictor II)
9433,N,Small Molecule,Y,+,+,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
9444,Y,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
9642,N,Small Molecule,Y,+,+,-,Substrate,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
9651,Y,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
9878,N,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
9880,N,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
10531,N,Small Molecule,Y,+,-,-,Substrate,Inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
10917,Y,Small Molecule,Y,-,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Carcinogens ,Ready biodegradable,Weak inhibitor,Non-inhibitor
12035,Y,Small Molecule,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
12620,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Ready biodegradable,Weak inhibitor,Non-inhibitor
13109,N,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
14969,Y,Small Molecule,Y,-,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
15209,N,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
16078,N,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
16362,N,Small Molecule,Y,+,+,-,Substrate,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Strong inhibitor,Inhibitor
16850,N,Small Molecule,Y,+,+,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
18283,N,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
18381,N,Small Molecule,Y,+,-,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Carcinogens ,Not ready biodegradable,Weak inhibitor,Non-inhibitor
20279,Y,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
21319,N,Small Molecule,Y,+,-,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Carcinogens ,Not ready biodegradable,Weak inhibitor,Non-inhibitor
25419,N,Small Molecule,Y,-,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Carcinogens ,Not ready biodegradable,Weak inhibitor,Non-inhibitor
27661,N,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Ready biodegradable,Weak inhibitor,Non-inhibitor
28417,N,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
29029,Y,Small Molecule,Y,+,-,-,Substrate,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
29327,N,Small Molecule,Y,-,-,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Ready biodegradable,Weak inhibitor,Non-inhibitor
30323,Y,Small Molecule,Y,-,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
30751,Y,Small Molecule,Y,-,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
31307,N,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
31401,Y,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
31703,Y,Small Molecule,Y,-,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
32798,N,Small Molecule,Y,+,+,+,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
33255,N,Small Molecule,Y,+,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
33613,N,Small Molecule,Y,-,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
33741,Y,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
34312,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
35370,Y,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Ready biodegradable,Weak inhibitor,Non-inhibitor
36294,Y,Small Molecule,Y,-,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
36462,N,Small Molecule,Y,+,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
36523,N,Small Molecule,Y,+,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
37464,N,Small Molecule,Y,+,-,+,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
37542,Y,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
37720,Y,Small Molecule,Y,-,+,-,Non-substrate,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
38904,N,Small Molecule,Y,-,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Ready biodegradable,Weak inhibitor,Non-inhibitor
39042,N,Small Molecule,Y,+,+,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
39147,N,Small Molecule,Y,+,-,-,Substrate,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
39186,N,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
41684,Y,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Ready biodegradable,Weak inhibitor,Non-inhibitor
41693,N,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
41781,N,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
41867,N,Small Molecule,Y,-,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
42113,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Carcinogens ,Not ready biodegradable,Weak inhibitor,Non-inhibitor
42890,Y,Small Molecule,Y,+,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
43672,N,Small Molecule,Y,-,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
43815,N,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Strong inhibitor,Non-inhibitor
44093,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
47320,N,Small Molecule,Y,-,+,+,Substrate,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
47811,N,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
50294,N,Small Molecule,Y,+,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
50599,N,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
51263,Y,Small Molecule,Y,+,+,-,Substrate,Inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Strong inhibitor,Inhibitor
51634,Y,Small Molecule,Y,+,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
53232,N,Small Molecule,Y,+,+,-,Substrate,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
54454,N,Small Molecule,Y,+,+,-,Substrate,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
54687,N,Small Molecule,Y,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
54746,N,Small Molecule,Y,+,+,-,Substrate,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
55245,Y,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Inhibitor,Inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
55283,Y,Small Molecule,Y,+,-,+,Substrate,Inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
55891,N,Small Molecule,Y,+,-,-,Substrate,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
56959,N,Small Molecule,Y,-,-,-,Substrate,Inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
57363,Y,Small Molecule,Y,+,+,-,Substrate,Inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
57469,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,High CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
59768,N,Small Molecule,Y,+,-,+,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
60164,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
60198,N,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
60464,N,Small Molecule,Y,+,-,+,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
60490,N,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
60606,N,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
60613,N,Small Molecule,Y,-,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
60648,N,Small Molecule,Y,+,+,-,Substrate,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Ready biodegradable,Weak inhibitor,Non-inhibitor
60726,N,Small Molecule,Y,+,+,+,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
60795,Y,Small Molecule,Y,+,+,+,Substrate,Inhibitor,Inhibitor,Inhibitor,Inhibitor,Inhibitor,Inhibitor,Inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Inhibitor
60825,N,Small Molecule,Y,+,+,-,Non-substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
60843,Y,Small Molecule,Y,+,+,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
60846,N,Small Molecule,Y,+,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Inhibitor,High CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
60852,N,Small Molecule,Y,-,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
60855,N,Small Molecule,Y,-,-,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Ready biodegradable,Weak inhibitor,Non-inhibitor
60857,N,Small Molecule,Y,+,+,-,Substrate,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Non-inhibitor,Low CYP Inhibitory Promiscuity,Non AMES toxic,Non-carcinogens,Not ready biodegradable,Weak inhibitor,Non-inhibitor
